year,price
2017,0.3324607329842932
2016,0.2523560209424084
NaT,0.1774869109947644
2015,0.1162303664921466
2014,0.04293193717277487
2013,0.01832460732984293
2012,0.017277486910994764
2011,0.008900523560209424
2007,0.007329842931937173
2008,0.005759162303664921
2010,0.004712041884816754
2018,0.0031413612565445027
2006,0.002617801047120419
2009,0.002617801047120419
2005,0.0015706806282722514
2003,0.0010471204188481676
2001,0.0010471204188481676
1999,0.0010471204188481676
1996,0.0010471204188481676
1994,0.0005235602094240838
2004,0.0005235602094240838
1997,0.0005235602094240838
1981,0.0005235602094240838
